Warning: truncated output (original token count: 39953)
Total output lines: 2077

iso_week,chokepoint_id,vessel_type,transit_count,year,observation_date,transit_baseline,transit_baseline_ratio
7,Suez,Other,106.0,2022,2022-02-14,109.16666666666667,0.9709923664122136
7,Suez,Tanker,83.0,2022,2022-02-14,95.33333333333333,0.8706293706293706
7,Taiwan Strait,Cargo,578.0,2022,2022-02-14,570.1666666666666,1.01373867290266
7,Taiwan Strait,Other,231.0,2022,2022-02-14,226.83333333333334,1.0183688464364438
7,Taiwan Strait,Tanker,202.0,2022,2022-02-14,182.66666666666666,1.1058394160583942
8,Bab-Al Mandab Strait,Cargo,166.0,2022,2022-02-21,170.42857142857142,0.9740150880134116
8,Bab-Al Mandab Strait,Other,136.0,2022,2022-02-21,116.42857142857143,1.1680981595092024
8,Bab-Al Mandab Strait,Tanker,122.0,2022,2022-02-21,111.28571428571429,1.0962772785622592
8,Cape of Good Hope,Cargo,59.0,2022,2022-02-21,61.285714285714285,0.9627039627039627
8,Cape of Good Hope,Other,176.0,2022,2022-02-21,193.85714285714286,0.9078850405305822
8,Cape of Good Hope,Tanker,77.0,2022,2022-02-21,82.85714285714286,0.9293103448275861
8,Dover,Cargo,690.0,2022,2022-02-21,635.7142857142857,1.0853932584269663
8,Dover,Other,172.0,2022,2022-02-21,174.28571428571428,0.9868852459016394
8,Dover,Tanker,400.0,2022,2022-02-21,418.0,0.9569377990430622
8,Hormuz,Cargo,145.0,2022,2022-02-21,114.57142857142857,1.2655860349127181
8,Hormuz,Other,109.0,2022,2022-02-21,88.14285714285714,1.2366288492706645
8,Hormuz,Tanker,414.0,2022,2022-02-21,323.7142857142857,1.2789055604589585
8,Suez,Cargo,153.0,2022,2022-02-21,155.57142857142858,0.9834710743801652
8,Suez,Other,112.0,2022,2022-02-21,108.71428571428571,1.0302233902759528
8,Suez,Tanker,88.0,2022,2022-02-21,93.57142857142857,0.9404580152671755
8,Taiwan Strait,Cargo,590.0,2022,2022-02-21,571.2857142857143,1.0327581895473867
8,Taiwan Strait,Other,225.0,2022,2022-02-21,227.42857142857142,0.9893216080402011
8,Taiwan Strait,Tanker,197.0,2022,2022-02-21,185.42857142857142,1.0624036979969185
9,Bab-Al Mandab Strait,Cargo,172.0,2022,2022-02-28,169.875,1.0125091979396614
9,Bab-Al Mandab Strait,Other,113.0,2022,2022-02-28,118.875,0.9505783385909569
9,Bab-Al Mandab Strait,Tanker,109.0,2022,2022-02-28,112.625,0.9678135405105438
9,Cape of Good Hope,Cargo,62.0,2022,2022-02-28,61.0,1.0163934426229508
9,Cape of Good Hope,Other,193.0,2022,2022-02-28,191.625,1.0071754729288975
9,Cape of Good Hope,Tanker,74.0,2022,2022-02-28,82.125,0.9010654490106544
9,Dover,Cargo,710.0,2022,2022-02-28,642.5,1.105058365758755
9,Dover,Other,195.0,2022,2022-02-28,174.0,1.1206896551724137
9,Dover,Tanker,413.0,2022,2022-02-28,415.75,0.9933854479855683
9,Hormuz,Cargo,125.0,2022,2022-02-28,118.375,1.0559662090813093
9,Hormuz,Other,100.0,2022,2022-02-28,90.75,1.1019283746556474
9,Hormuz,Tanker,356.0,2022,2022-02-28,335.0,1.0626865671641792
9,Suez,Cargo,178.0,2022,2022-02-28,155.25,1.146537842190016
9,Suez,Other,111.0,2022,2022-02-28,109.125,1.0171821305841924
9,Suez,Tanker,91.0,2022,2022-02-28,92.875,0.9798115746971736
9,Taiwan Strait,Cargo,607.0,2022,2022-02-28,573.625,1.0581826105905425
9,Taiwan Strait,Other,230.0,2022,2022-02-28,227.125,1.0126582278481013
9,Taiwan Strait,Tanker,171.0,2022,2022-02-28,186.875,0.9150501672240803
10,Bab-Al Mandab Strait,Cargo,182.0,2022,2022-03-07,170.11111111111111,1.069888961463096
10,Bab-Al Mandab Strait,Other,121.0,2022,2022-03-07,118.22222222222223,1.0234962406015038
10,Bab-Al Mandab Strait,Tanker,115.0,2022,2022-03-07,112.22222222222223,1.0247524752475248
10,Cape of Good Hope,Cargo,60.0,2022,2022-03-07,61.111111111111114,0.9818181818181818
10,Cape of Good Hope,Other,180.0,2022,2022-03-07,191.77777777777777,0.9385863267670915
10,Cape of Good Hope,Tanker,75.0,2022,2022-03-07,81.22222222222223,0.923392612859097
10,Dover,Cargo,688.0,2022,2022-03-07,650.0,1.0584615384615386
10,Dover,Other,184.0,2022,2022-03-07,176.33333333333334,1.0434782608695652
10,Dover,Tanker,409.0,2022,2022-03-07,415.44444444444446,0.9844878309708478
10,Hormuz,Cargo,159.0,2022,2022-03-07,119.11111111111111,1.3348880597014925
10,Hormuz,Other,129.0,2022,2022-03-07,91.77777777777777,1.4055690072639226
10,Hormuz,Tanker,398.0,2022,2022-03-07,337.3333333333333,1.1798418972332017
10,Suez,Cargo,150.0,2022,2022-03-07,157.77777777777777,0.9507042253521127
10,Suez,Other,102.0,2022,2022-03-07,109.33333333333333,0.9329268292682927
10,Suez,Tanker,103.0,2022,2022-03-07,92.66666666666667,1.1115107913669064
10,Taiwan Strait,Cargo,705.0,2022,2022-03-07,577.3333333333334,1.2211316397228638
10,Taiwan Strait,Other,254.0,2022,2022-03-07,227.44444444444446,1.1167562286272594
10,Taiwan Strait,Tanker,273.0,2022,2022-03-07,185.11111111111111,1.4747899159663864
11,Bab-Al Mandab Strait,Cargo,176.0,2022,2022-03-14,171.3,1.0274372446001168
11,Bab-Al Mandab Strait,Other,103.0,2022,2022-03-14,118.5,0.869198312236287
11,Bab-Al Mandab Strait,Tanker,130.0,2022,2022-03-14,112.5,1.1555555555555554
11,Cape of Good Hope,Cargo,58.0,2022,2022-03-14,61.0,0.9508196721311475
11,Cape of Good Hope,Other,193.0,2022,2022-03-14,190.6,1.012591815320042
11,Cape of Good Hope,Tanker,83.0,2022,2022-03-14,80.6,1.0297766749379653
11,Dover,Cargo,643.0,2022,2022-03-14,653.8,0.9834811869073111
11,Dover,Other,211.0,2022,2022-03-14,177.1,1.1914172783738002
11,Dover,Tanker,397.0,2022,2022-03-14,414.8,0.9570877531340405
11,Hormuz,Cargo,150.0,2022,2022-03-14,123.1,1.2185215272136476
11,Hormuz,Other,97.0,2022,2022-03-14,95.5,1.0157068062827226
11,Hormuz,Tanker,349.0,2022,2022-03-14,343.4,1.0163075131042516
11,Suez,Cargo,152.0,2022,2022-03-14,157.0,0.9681528662420382
11,Suez,Other,103.0,2022,2022-03-14,108.6,0.9484346224677717
11,Suez,Tanker,108.0,2022,2022-03-14,93.7,1.152614727854856
11,Taiwan Strait,Cargo,614.0,2022,2022-03-14,590.1,1.0405016098966275
11,Taiwan Strait,Other,275.0,2022,2022-03-14,230.1,1.1951325510647546
11,Taiwan Strait,Tanker,199.0,2022,2022-03-14,193.9,1.0263022176379577
12,Bab-Al Mandab Strait,Cargo,178.0,2022,2022-03-21,171.72727272727272,1.0365272631021705
12,Bab-Al Mandab Strait,Other,107.0,2022,2022-03-21,117.0909090909091,0.9138198757763975
12,Bab-Al Mandab Strait,Tanker,110.0,2022,2022-03-21,114.0909090909091,0.9641434262948207
12,Cape of Good Hope,Cargo,59.0,2022,2022-03-21,60.72727272727273,0.9715568862275449
12,Cape of Good Hope,Other,183.0,2022,2022-03-21,190.8181818181818,0.9590281086231539
12,Cape of Good Hope,Tanker,69.0,2022,2022-03-21,80.81818181818181,0.8537682789651294
12,Dover,Cargo,676.0,2022,2022-03-21,652.8181818181819,1.035510374599638
12,Dover,Other,213.0,2022,2022-03-21,180.1818181818182,1.1821392532795156
